,,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogWNImputedprice_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,LogImputedminInstalls_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,offersIAPTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106,containsAdsTrue_202106
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
,genreId_ART_AND_DESIGN_NicheDummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genreId_ENTERTAINMENT,Broad,45.0,0.34,0.95,0.02,0.05,0.07,0.09,5.99,45.0,14.28,3.39,6.22,13.12,15.42,16.12,20.72,45.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0,45.0,0.58,0.5,0.0,0.0,1.0,1.0,1.0
genreId_ENTERTAINMENT,Niche,173.0,0.7,0.76,0.01,0.06,0.09,1.39,3.05,173.0,11.62,3.66,4.62,8.52,11.51,13.82,20.72,173.0,0.42,0.49,0.0,0.0,0.0,1.0,1.0,173.0,0.27,0.44,0.0,0.0,0.0,1.0,1.0
genreId_GAME_BOARD,Broad,69.0,0.65,0.73,0.01,0.05,0.08,1.41,2.4,69.0,11.89,3.74,4.62,9.21,13.12,13.82,20.03,69.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,69.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0
genreId_GAME_BOARD,Niche,138.0,0.72,0.82,0.01,0.05,0.08,1.41,2.41,138.0,12.0,3.55,3.93,9.21,11.51,15.42,18.42,138.0,0.64,0.48,0.0,0.0,1.0,1.0,1.0,138.0,0.51,0.5,0.0,0.0,1.0,1.0,1.0
genreId_EVENTS,Broad,32.0,0.07,0.12,0.01,0.03,0.05,0.08,0.73,32.0,8.33,3.14,2.4,5.82,9.21,10.82,13.82,32.0,0.09,0.3,0.0,0.0,0.0,0.0,1.0,32.0,0.25,0.44,0.0,0.0,0.0,0.25,1.0
genreId_EVENTS,Niche,50.0,0.07,0.13,0.01,0.03,0.05,0.07,0.94,50.0,9.99,3.07,3.93,8.52,10.82,11.51,16.12,50.0,0.18,0.39,0.0,0.0,0.0,0.0,1.0,50.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0
genreId_SHOPPING,Broad,67.0,0.16,0.41,0.01,0.03,0.05,0.07,2.31,67.0,13.77,2.83,4.62,13.12,13.82,16.12,18.42,67.0,0.22,0.42,0.0,0.0,0.0,0.0,1.0,67.0,0.3,0.46,0.0,0.0,0.0,1.0,1.0
genreId_SHOPPING,Niche,68.0,0.33,0.84,0.01,0.03,0.06,0.09,5.99,68.0,12.44,4.09,0.69,10.82,13.82,15.42,18.42,68.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,68.0,0.29,0.46,0.0,0.0,0.0,1.0,1.0
genreId_FOOD_AND_DRINK,Broad,68.0,0.36,0.67,0.01,0.04,0.07,0.09,3.93,68.0,11.24,4.22,2.4,9.21,13.12,13.82,17.73,68.0,0.25,0.44,0.0,0.0,0.0,0.25,1.0,68.0,0.18,0.38,0.0,0.0,0.0,0.0,1.0
genreId_FOOD_AND_DRINK,Niche,136.0,0.64,1.3,0.01,0.04,0.07,0.24,5.02,136.0,10.66,4.3,1.79,8.12,11.51,13.82,18.42,136.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0,136.0,0.25,0.43,0.0,0.0,0.0,0.25,1.0
genreId_HEALTH_AND_FITNESS,Broad,27.0,0.51,0.91,0.02,0.04,0.07,0.09,3.05,27.0,12.42,3.02,6.91,10.36,13.82,14.62,16.12,27.0,0.81,0.4,0.0,1.0,1.0,1.0,1.0,27.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0
genreId_HEALTH_AND_FITNESS,Niche,223.0,0.56,0.77,0.01,0.04,0.08,1.19,3.4,223.0,12.37,3.36,2.4,9.21,13.12,15.42,20.72,223.0,0.57,0.5,0.0,0.0,1.0,1.0,1.0,223.0,0.25,0.43,0.0,0.0,0.0,0.5,1.0
genreId_HOUSE_AND_HOME,Broad,33.0,0.57,0.84,0.01,0.04,0.08,1.1,2.89,33.0,9.38,3.74,2.4,6.91,9.21,11.51,16.12,33.0,0.24,0.44,0.0,0.0,0.0,0.0,1.0,33.0,0.27,0.45,0.0,0.0,0.0,1.0,1.0
genreId_HOUSE_AND_HOME,Niche,82.0,0.2,0.48,0.01,0.04,0.06,0.08,2.49,82.0,11.69,3.32,2.4,9.61,11.51,13.82,17.73,82.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0,82.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0
genreId_TOOLS,Broad,44.0,1.11,0.87,0.03,0.09,1.26,1.8,3.26,44.0,11.26,3.17,2.4,9.21,10.82,13.3,20.03,44.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0,44.0,0.07,0.25,0.0,0.0,0.0,0.0,1.0
genreId_TOOLS,Niche,173.0,0.62,0.8,0.01,0.04,0.08,1.39,3.26,173.0,13.61,3.73,4.62,10.82,13.82,16.12,22.33,173.0,0.34,0.47,0.0,0.0,0.0,1.0,1.0,173.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0
genreId_LIBRARIES_AND_DEMO,Broad,72.0,0.35,0.52,0.01,0.04,0.08,0.71,2.4,72.0,10.03,3.37,0.69,6.91,10.82,11.51,16.12,72.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0,72.0,0.38,0.49,0.0,0.0,0.0,1.0,1.0
genreId_LIBRARIES_AND_DEMO,Niche,20.0,0.06,0.03,0.02,0.03,0.06,0.08,0.09,20.0,11.92,1.64,9.21,10.82,11.51,13.82,13.82,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.65,0.49,0.0,0.0,1.0,1.0,1.0
genreId_MAPS_AND_NAVIGATION,Broad,47.0,0.51,0.76,0.01,0.05,0.07,0.72,2.4,47.0,11.56,3.76,4.62,8.52,13.12,13.82,17.73,47.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0,47.0,0.4,0.5,0.0,0.0,0.0,1.0,1.0
genreId_MAPS_AND_NAVIGATION,Niche,172.0,0.77,1.0,0.01,0.05,0.08,1.4,4.56,172.0,10.27,4.2,0.69,8.52,11.51,13.82,20.03,172.0,0.34,0.47,0.0,0.0,0.0,1.0,1.0,172.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0
genreId_MEDICAL,Broad,39.0,0.88,1.03,0.01,0.05,0.69,1.62,3.44,39.0,10.06,3.04,4.62,7.71,9.21,13.12,15.42,39.0,0.31,0.47,0.0,0.0,0.0,1.0,1.0,39.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0
genreId_MEDICAL,Niche,204.0,0.81,1.22,0.01,0.05,0.07,1.4,5.53,204.0,10.02,3.05,1.79,8.52,10.82,11.51,16.12,204.0,0.34,0.47,0.0,0.0,0.0,1.0,1.0,204.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
genreId_MUSIC_AND_AUDIO,Broad,53.0,0.93,0.96,0.01,0.04,0.95,1.63,4.11,53.0,11.35,2.97,6.91,9.21,10.82,13.12,18.42,53.0,0.42,0.5,0.0,0.0,0.0,1.0,1.0,53.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0
genreId_MUSIC_AND_AUDIO,Niche,167.0,0.64,0.84,0.01,0.05,0.08,1.32,3.05,167.0,13.36,3.43,4.62,10.82,13.82,16.12,20.72,167.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0,167.0,0.47,0.5,0.0,0.0,0.0,1.0,1.0
genreId_NEWS_AND_MAGAZINES,Broad,60.0,0.25,0.54,0.01,0.04,0.07,0.09,2.78,60.0,12.12,3.13,2.4,11.34,13.12,13.82,20.72,60.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0,60.0,0.7,0.46,0.0,0.0,1.0,1.0,1.0
genreId_NEWS_AND_MAGAZINES,Niche,99.0,0.24,0.51,0.01,0.04,0.06,0.09,2.71,99.0,11.13,2.4,6.91,9.21,10.82,13.12,17.73,99.0,0.73,0.45,0.0,0.0,1.0,1.0,1.0,99.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0
genreId_PARENTING,Broad,46.0,0.17,0.33,0.01,0.04,0.06,0.09,1.4,46.0,10.99,2.94,2.4,9.21,11.51,13.12,16.12,46.0,0.5,0.51,0.0,0.0,0.5,1.0,1.0,46.0,0.35,0.48,0.0,0.0,0.0,1.0,1.0
genreId_PARENTING,Niche,79.0,0.21,0.47,0.01,0.04,0.06,0.08,2.31,79.0,11.51,2.68,2.4,10.82,11.51,13.82,16.12,79.0,0.61,0.49,0.0,0.0,1.0,1.0,1.0,79.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0
genreId_GAME_PUZZLE,Broad,56.0,0.64,0.65,0.01,0.04,0.39,1.16,1.95,56.0,12.76,3.62,6.91,9.21,13.82,16.12,17.73,56.0,0.59,0.5,0.0,0.0,1.0,1.0,1.0,56.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0
genreId_GAME_PUZZLE,Niche,213.0,0.45,0.63,0.01,0.04,0.06,0.74,1.95,213.0,13.85,2.97,2.4,11.51,13.82,16.12,18.42,213.0,0.68,0.47,0.0,0.0,1.0,1.0,1.0,213.0,0.65,0.48,0.0,0.0,1.0,1.0,1.0
